Car_Name,manufacture_year,Selling_Price,price,mileage,vehicle_type,Seller_Type,Transmission,Owner,car name,Predicted Valuation
ritz,2014,3.35,5.59,27000,2,Dealer,Manual,0,ritz,5.482819999999996
sx4,2013,4.75,9.54,43000,1,Dealer,Manual,0,sx4,9.475624999999992
ciaz,2017,7.25,9.85,6900,2,Dealer,Manual,0,ciaz,6.650706666666673
wagon r,2011,2.85,4.15,5200,2,Dealer,Manual,0,wagon r,3.311839999999998
swift,2014,4.6,6.87,42450,1,Dealer,Manual,0,swift,8.013849999999998
vitara brezza,2018,9.25,9.83,2071,1,Dealer,Manual,0,vitara  brez,29.1232
ciaz,2015,6.75,8.12,18796,2,Dealer,Manual,0,s cross,7.601100000000002
s cross,2015,6.5,8.61,33429,1,Dealer,Manual,0,alto 800,12.291260000000008
ciaz,2016,8.75,8.89,20273,1,Dealer,Manual,0,ertiga,11.216500000000003
ciaz,2015,7.45,8.92,42367,1,Dealer,Manual,0,dzire,11.366899999999987
alto 800,2017,2.85,3.6,2135,2,Dealer,Manual,0,alto k10,3.255899999999999
ciaz,2015,6.85,10.38,51000,1,Dealer,Manual,0,ignis,10.189249999999996
ciaz,2015,7.5,9.94,15000,2,Dealer,Automatic,0,baleno ,8.038053333333348
ertiga,2015,6.1,7.71,26000,2,Dealer,Manual,0,omni,8.083950000000009
dzire,2009,2.25,7.21,77427,2,Dealer,Manual,0,,9.462380000000007
ertiga,2016,7.75,10.79,43000,1,Dealer,Manual,0,,11.414699999999987
ertiga,2015,7.25,10.79,41678,1,Dealer,Manual,0,,15.853893333333321
ertiga,2016,7.75,10.79,43000,1,Dealer,Manual,0,,11.414699999999987
wagon r,2015,3.25,5.09,35500,0,Dealer,Manual,0,,8.262066666666673
sx4,2010,2.65,7.98,41442,2,Dealer,Manual,0,,6.520400000000006
alto k10,2016,2.85,3.95,25000,2,Dealer,Manual,0,,3.7156152380952365
ignis,2017,4.9,5.71,2400,2,Dealer,Manual,0,,4.415999999999997
sx4,2011,4.4,8.01,50000,2,Dealer,Automatic,0,,6.33307
alto k10,2014,2.5,3.46,45280,2,Dealer,Manual,0,,5.12301166666666
wagon r,2013,2.9,4.41,56879,2,Dealer,Manual,0,,11.161299999999999
swift,2011,3.0,4.99,20000,2,Dealer,Manual,0,,1.8163000000000002
swift,2013,4.15,5.87,55138,2,Dealer,Manual,0,,8.158800000000003
swift,2017,6.0,6.49,16200,2,Individual,Manual,0,,6.9771
alto k10,2010,1.95,3.95,44542,2,Dealer,Manual,0,,3.861966666666662
ciaz,2015,7.45,10.38,45000,1,Dealer,Manual,0,,11.054589999999997
ritz,2012,3.1,5.98,51439,1,Dealer,Manual,0,,7.811400000000008
ritz,2011,2.35,4.89,54200,2,Dealer,Manual,0,,5.607899999999995
swift,2014,4.95,7.49,39000,1,Dealer,Manual,0,,11.933693333333338
ertiga,2014,6.0,9.95,45000,1,Dealer,Manual,0,,7.761717857142855
dzire,2014,5.5,8.06,45000,1,Dealer,Manual,0,,7.761717857142855
sx4,2011,2.95,7.74,49998,0,Dealer,Manual,0,,10.45030000000001
dzire,2015,4.65,7.2,48767,2,Dealer,Manual,0,,7.60550000000001
alto 800,2003,0.35,2.28,127000,2,Individual,Manual,0,,7.582999999999991
alto k10,2016,3.0,3.76,10079,2,Dealer,Manual,0,,5.4519199999999985
